id	origin	earliest	latest	form	form_type	is_anonymous	genre	subgenre	has_dramaweb_scan	has_dramaweb_transcription	ceneton_scan	ceneton_transcription	external_scan	external_transcription	fingerprint	literature	remarks	link_ub_antwerp	link_kbb	link_ub_gent	link_bnf	link_kb	link_google	link_bll
2153	M281	1617-01-01	1617-12-31	First Printing	Full edition	f			t	t			http://books.google.be/books?id=sLcTAAAAQAAJ&pg=PA146&dq=patrisfamilias+surius&hl=nl&sa=X&ei=2XFtUvOQDYmO0AX3zYG4Cg&ved=0CG0Q6AEwCA#v=onepage&q=patrisfamilias%20surius&f=false	f										
2154	M283	1617-01-01	1617-12-31	First Printing	Full edition	f			f	f			http://books.google.be/books?id=sLcTAAAAQAAJ&pg=PA146&dq=patrisfamilias+surius&hl=nl&sa=X&ei=2XFtUvOQDYmO0AX3zYG4Cg&ved=0CG0Q6AEwCA#v=onepage&q=patrisfamilias%20surius&f=false	f										
2155	M291	1618-01-01	1618-12-31	Synopsis	Synopsis	f			f	f			http://books.google.be/books?id=LcQ8AAAAcAAJ&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false	f										
2156	M295	1620-01-01	1620-12-31	First Printing	Full edition	f	Comical tragedy		f	f			http://books.google.be/books?id=i15bAAAAQAAJ&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false	f										
2157	M3	1513-01-01	1513-12-31	Reprint	Full edition	f			f	f				f										
2158	M302	1621-01-01	1621-12-31	First Printing	Full edition	f			t	t				f										
2159	M303	1621-01-01	1621-12-31	First Printing	Full edition	f			t	t				f										
2160	M304	1621-01-01	1621-12-31	First Printing	Full edition	f			t	t				f										
2161	M305	1621-01-01	1621-12-31	First Printing	Full edition	f			t	t				f										
2162	M307	1621-01-01	1621-12-31	First Printing	Full edition	f			t	t				f	162108 - a1 A2 et.$									
2163	M311	1621-01-01	1621-12-31	First Printing	Full edition	f			f	f				f										
2164	M313	1621-01-01	1621-12-31	First Printing	Full edition	f			f	f				f										
2165	M315	1622-01-01	1622-12-31	Synopsis	Synopsis	f			f	f				f					https://opac.kbr.be/LIBRARY/doc/SYRACUSE/13540933					
2166	M319	1623-01-01	1623-12-31	Synopsis	Synopsis	f			f	f				f										
2167	M332	1625-01-01	1625-12-31	Synopsis	Synopsis	f	Comedy		f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2168	M339	1627-01-01	1627-12-31	Mention	Fragment	f			f	f				f										
2169	M342	1627-01-01	1627-12-31	Synopsis	Synopsis	f			f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2170	M348	1628-01-01	1628-12-31	Reprint	Full edition	f	Comical tragedy		f	f			http://books.google.be/books?id=i15bAAAAQAAJ&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false	f										
2171	M358	1628-01-01	1628-12-31	First Printing	Full edition	f	Comical tragedy		f	f			http://books.google.be/books?id=i15bAAAAQAAJ&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false	f										
2172	M372	1630-01-01	1630-12-31	Synopsis (printed)	Synopsis	f	Tragedy		f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836	Auteurs worden door Proot genoemd.				https://catalogue.bnf.fr/ark:/12148/cb38684492q			
2173	M374	1630-01-01	1630-12-31	Synopsis	Synopsis	f			f	f				f					https://opac.kbr.be/LIBRARY/doc/SYRACUSE/13540933					
2174	M375	1630-01-01	1630-12-31	Synopsis	Synopsis	f			f	f				f										
2175	M376	1630-01-01	1630-12-31	Reprint	Full edition	f			f	f				f										
2176	M378	1630-01-01	1630-12-31	Synopsis	Synopsis	f	Tragedy		f	f				f					https://opac.kbr.be/LIBRARY/doc/SYRACUSE/13540933					
2177	M390	1631-01-01	1631-12-31	Synopsis	Synopsis	f	Tragedy		f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
